UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Quality Prediction,Quality Status,Quality Confidence,Anomaly,Failure Probability,Risk Level,Maintenance Recommendation,AI Recommendation,Priority,Overall Status,Human Decision,Approval Time,Approved By,AI Overall Risk,Maintenance Probability,Case ID
2404.0,H31817,H,299.2,308.7,1448,51.4,173,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02404
2405.0,M17264,M,299.1,308.7,2008,20.3,178,0.0,No Failure,0.0,Good,0.98,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02405
2406.0,L49585,L,299.1,308.7,1498,38.9,181,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02406
2407.0,L49586,L,299.1,308.6,1437,41.6,183,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02407
2408.0,M17267,M,299.1,308.6,1499,45.1,185,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02408
2409.0,L49588,L,299.0,308.4,1356,52.6,188,0.0,No Failure,0.0,Good,0.95,Normal,0.045,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02409
2410.0,L49589,L,299.1,308.5,1539,46.8,190,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02410
2411.0,L49590,L,299.1,308.5,1689,32.1,192,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02411
2412.0,L49591,L,299.0,308.5,1559,38.1,194,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02412
2413.0,L49592,L,299.1,308.6,1408,46.7,196,0.0,No Failure,0.0,Good,0.99,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02413
2414.0,L49593,L,299.0,308.5,1886,23.0,198,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02414
2415.0,L49594,L,299.1,308.5,1415,43.4,0,0.0,No Failure,0.0,Good,1.0,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02415
2416.0,M17275,M,299.1,308.5,1587,35.6,2,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02416
2417.0,L49596,L,299.0,308.4,1571,38.6,5,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02417
2418.0,L49597,L,298.9,308.3,1576,36.6,7,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02418
2419.0,L49598,L,298.9,308.3,1660,34.4,9,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02419
2420.0,M17279,M,298.9,308.2,1328,49.2,11,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02420
2421.0,H31834,H,298.8,308.2,1450,44.7,14,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02421
2422.0,L49601,L,298.9,308.2,2384,15.0,19,0.0,No Failure,0.0,Good,0.96,Anomaly,0.095,Low,Continue normal operation,ANOMALY ALERT: Investigate abnormal machine behavior,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02422
2423.0,L49602,L,298.8,308.2,1443,53.4,21,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02423
2424.0,M17283,M,298.9,308.2,2022,20.0,23,0.0,No Failure,0.0,Good,1.0,Anomaly,0.0,Low,Continue normal operation,ANOMALY ALERT: Investigate abnormal machine behavior,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02424
2425.0,L49604,L,298.9,308.2,1828,23.8,26,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02425
2426.0,L49605,L,298.8,308.1,1472,53.5,28,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02426
2427.0,M17286,M,298.9,308.2,1372,63.6,30,1.0,Power Failure,1.0,Defective,1.0,Normal,1.0,High,Immediate inspection recommended,HIGH PRIORITY: Hold defective product and perform immediate machine inspection,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02427
2428.0,L49607,L,298.9,308.3,1855,23.8,33,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02428
2429.0,M17288,M,299.0,308.3,1377,47.2,35,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02429
2430.0,L49609,L,298.9,308.3,1432,48.9,38,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02430
2431.0,M17290,M,298.9,308.2,1335,47.8,40,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02431
2432.0,M17291,M,298.9,308.2,1411,51.3,43,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02432
2433.0,L49612,L,298.9,308.2,1510,43.5,46,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02433
2434.0,L49613,L,299.0,308.3,1441,44.0,48,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02434
2435.0,M17294,M,299.0,308.2,1358,42.7,50,0.0,No Failure,0.0,Good,0.99,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02435
2436.0,L49615,L,298.9,308.2,1686,30.4,53,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02436
2437.0,H31850,H,299.0,308.2,1662,30.4,55,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02437
2438.0,L49617,L,299.1,308.3,1426,40.1,60,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02438
2439.0,M17298,M,299.1,308.4,1330,53.6,62,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02439
2440.0,L49619,L,299.1,308.4,1693,31.6,65,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02440
2441.0,L49620,L,299.1,308.4,1426,47.9,67,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02441
2442.0,L49621,L,299.1,308.5,1676,31.0,69,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02442
2443.0,M17302,M,299.1,308.4,1332,51.7,71,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02443
2444.0,L49623,L,299.1,308.5,1647,35.0,74,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02444
2445.0,L49624,L,299.2,308.6,1267,68.2,76,1.0,Power Failure,1.0,Defective,0.92,Normal,0.905,High,Immediate inspection recommended,HIGH PRIORITY: Hold defective product and perform immediate machine inspection,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02445
2446.0,H31859,H,299.2,308.7,1375,55.1,78,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02446
2447.0,L49626,L,299.3,308.6,1422,48.9,83,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02447
2448.0,L49627,L,299.3,308.7,1408,48.7,85,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02448
2449.0,L49628,L,299.4,308.9,1440,42.5,87,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02449
2450.0,L49629,L,299.3,308.8,1772,25.2,89,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02450
2451.0,L49630,L,299.2,308.7,1492,37.8,91,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02451
2452.0,L49631,L,299.2,308.7,1650,30.5,93,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02452
2453.0,M17312,M,299.1,308.6,2329,14.6,95,0.0,No Failure,0.0,Good,0.87,Anomaly,0.18,Low,Continue normal operation,ANOMALY ALERT: Investigate abnormal machine behavior,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02453
2454.0,L49633,L,299.0,308.6,1648,30.8,98,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02454
2455.0,L49634,L,299.0,308.6,1653,31.7,100,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02455
2456.0,L49635,L,299.0,308.6,1946,22.3,102,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02456
2457.0,L49636,L,299.1,308.6,1555,36.6,104,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02457
2458.0,L49637,L,299.0,308.6,1661,32.2,106,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02458
2459.0,L49638,L,299.0,308.6,1434,45.9,108,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02459
2460.0,L49639,L,299.0,308.6,1297,54.2,110,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02460
2461.0,L49640,L,299.0,308.6,1466,46.4,112,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02461
2462.0,M17321,M,298.9,308.6,1517,39.8,114,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02462
2463.0,L49642,L,298.9,308.5,1742,34.5,117,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02463
2464.0,L49643,L,298.9,308.5,1580,39.1,119,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02464
2465.0,M17324,M,298.9,308.5,1534,42.9,121,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02465
2466.0,L49645,L,298.9,308.6,1481,40.7,124,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02466
2467.0,L49646,L,299.0,308.6,1429,37.7,126,0.0,No Failure,0.0,Good,0.99,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02467
2468.0,M17327,M,298.9,308.6,1574,33.5,128,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02468
2469.0,M17328,M,298.9,308.6,1524,40.4,131,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02469
2470.0,L49649,L,299.0,308.7,1507,37.5,134,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02470
2471.0,L49650,L,298.9,308.5,1467,44.7,136,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02471
2472.0,L49651,L,298.9,308.4,1301,51.1,138,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02472
2473.0,L49652,L,298.9,308.5,1429,55.1,140,0.0,No Failure,0.0,Good,0.99,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02473
2474.0,M17333,M,298.9,308.5,1555,37.6,142,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02474
2475.0,L49654,L,298.9,308.5,1503,40.6,145,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02475
2476.0,L49655,L,298.9,308.5,1459,43.1,147,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02476
2477.0,H31890,H,298.9,308.4,1449,42.4,149,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02477
2478.0,L49657,L,298.9,308.5,1387,57.3,154,0.0,No Failure,0.0,Good,0.97,Normal,0.05,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02478
2479.0,M17338,M,298.9,308.5,1456,50.0,156,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02479
2480.0,L49659,L,299.0,308.5,1604,34.7,159,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02480
2481.0,L49660,L,299.0,308.6,1734,32.4,161,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02481
2482.0,L49661,L,299.0,308.6,1378,47.8,163,0.0,No Failure,0.0,Good,0.99,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02482
2483.0,L49662,L,298.9,308.7,1504,41.8,165,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02483
2484.0,M17343,M,298.9,308.7,1402,49.8,167,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02484
2485.0,H31898,H,298.8,308.6,1524,37.7,170,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02485
2486.0,L49665,L,298.8,308.6,1593,35.5,175,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02486
2487.0,M17346,M,298.9,308.7,1772,28.4,177,0.0,No Failure,0.0,Good,0.98,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02487
2488.0,H31901,H,298.9,308.6,1623,31.0,180,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02488
2489.0,L49668,L,298.9,308.7,1356,50.7,185,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02489
2490.0,H31903,H,298.9,308.7,1500,41.6,187,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02490
2491.0,H31904,H,299.1,308.8,1566,46.6,192,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02491
2492.0,L49671,L,299.1,308.9,1445,43.4,197,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02492
2493.0,H31906,H,299.0,308.8,1382,58.5,199,0.0,No Failure,0.0,Good,0.63,Normal,0.37,Medium,Schedule maintenance inspection,MAINTENANCE NOTICE: Schedule preventive maintenance,Medium,MONITOR,Pending,,,,,CASE-02493
2494.0,M17353,M,299.0,308.8,1418,45.7,204,0.0,No Failure,0.0,Good,0.87,Normal,0.125,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02494
2495.0,L49674,L,299.1,308.8,1329,53.6,207,1.0,Overstrain Failure,1.0,Defective,1.0,Normal,1.0,High,Immediate inspection recommended,HIGH PRIORITY: Hold defective product and perform immediate machine inspection,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02495
2496.0,M17355,M,299.1,308.8,1491,41.0,209,0.0,No Failure,0.0,Good,0.85,Normal,0.18,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02496
2497.0,M17356,M,299.2,308.9,1573,37.4,212,0.0,No Failure,0.0,Good,0.99,Normal,0.025,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02497
2498.0,M17357,M,299.2,308.9,1521,42.3,215,0.0,No Failure,0.0,Good,0.97,Normal,0.035,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02498
2499.0,L49678,L,299.1,308.9,1467,47.2,218,0.0,No Failure,0.0,Good,0.94,Normal,0.06,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02499
2500.0,M17359,M,299.1,308.9,1325,48.4,220,0.0,No Failure,0.0,Good,0.72,Normal,0.325,Medium,Schedule maintenance inspection,MAINTENANCE NOTICE: Schedule preventive maintenance,Medium,MONITOR,Pending,,,,,CASE-02500
2501.0,L49680,L,299.1,308.9,1617,32.3,223,0.0,No Failure,0.0,Good,0.89,Normal,0.105,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02501
2502.0,M17361,M,299.1,308.9,1476,42.7,225,0.0,No Failure,0.0,Good,0.9,Normal,0.1,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02502
2503.0,L49682,L,299.2,309.0,1515,48.9,228,1.0,Overstrain Failure,1.0,Defective,1.0,Normal,1.0,High,Immediate inspection recommended,HIGH PRIORITY: Hold defective product and perform immediate machine inspection,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02503
2504.0,L49683,L,299.2,309.0,1408,47.2,0,0.0,No Failure,0.0,Good,1.0,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02504
2505.0,L49684,L,299.2,309.1,1468,45.6,2,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02505
2506.0,L49685,L,299.2,309.1,1387,48.7,4,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02506
2507.0,M17366,M,299.2,309.1,1503,34.7,6,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02507
2508.0,H31921,H,299.2,309.1,1410,47.1,9,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02508
2509.0,L49688,L,299.0,308.9,1615,30.6,14,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02509
2510.0,L49689,L,299.0,308.9,1511,35.9,16,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02510
2511.0,L49690,L,299.1,309.0,1405,53.8,18,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02511
2512.0,M17371,M,299.0,308.9,1526,41.1,20,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02512
2513.0,L49692,L,298.9,308.8,1530,38.3,23,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02513
2514.0,L49693,L,299.0,308.7,1583,32.5,25,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02514
2515.0,L49694,L,298.9,308.6,2069,18.7,27,0.0,No Failure,0.0,Good,1.0,Anomaly,0.0,Low,Continue normal operation,ANOMALY ALERT: Investigate abnormal machine behavior,High,ATTENTION REQUIRED,Pending Human Review,,,,,CASE-02515
2516.0,L49695,L,298.8,308.5,1490,35.0,29,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02516
2517.0,L49696,L,298.8,308.5,1736,29.0,31,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02517
2518.0,L49697,L,298.8,308.5,1395,44.4,33,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02518
2519.0,M17378,M,298.9,308.6,1425,49.6,35,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02519
2520.0,L49699,L,298.8,308.6,1631,32.4,38,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02520
2521.0,L49700,L,298.8,308.6,1535,41.2,40,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02521
2522.0,L49701,L,298.8,308.6,1584,34.4,42,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02522
2523.0,M17382,M,298.8,308.7,1543,38.2,44,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02523
2524.0,L49703,L,298.8,308.7,1635,35.2,47,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02524
2525.0,M17384,M,298.8,308.7,1446,45.5,49,0.0,No Failure,0.0,Good,1.0,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02525
2526.0,M17385,M,298.8,308.6,1598,35.1,52,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02526
2527.0,L49706,L,298.8,308.6,1501,35.0,55,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-02527
